name,time,Engine,UnAuthorized,lat,lon
demo,1678432169875402552,,1,,
demo,1678432171748595460,,1,,
demo,1678432239769906688,,0,,
demo,1678432601379933913,,1,47.203,-122.4882
demo,1678432786574550410,,1,47.203,-122.4882
demo,1678432806747653220,,0,47.203,-122.4882
demo,1678432808832343663,,0,47.203,-122.4882
demo,1678434117327586938,,1,47.203,-122.4882
demo,1678434357478638752,,0,47.203,-122.4882
demo,1678434550891077408,,0,47.203,-122.4882
demo,1678434552877886369,,0,47.203,-122.4882
demo,1678434582750213158,,1,47.203,-122.4882
demo,1678434823152018985,,0,47.203,-122.4882
demo,1678434825110393164,,0,47.203,-122.4882
demo,1678434955492038319,,1,47.203,-122.4882
demo,1678435002425685291,,1,47.203,-122.4882
demo,1678435073459528369,,1,47.203,-122.4882
demo,1678435075785391638,,1,47.203,-122.4882
demo,1678435306752176009,,1,47.203,-122.4882
demo,1678435899137416580,,0,47.203,-122.4882
demo,1678435951749570352,,0,47.203,-122.4882
demo,1678436014716350544,,1,47.203,-122.4882
demo,1678437577916264763,,1,47.203,-122.4882
demo,1678437659685981718,,1,47.203,-122.4882
demo,1678437676134309620,,0,47.203,-122.4882
demo,1678437703725297085,,1,47.203,-122.4882
demo,1678437706442885771,,0,47.203,-122.4882
demo,1678437769323802941,,1,47.203,-122.4882
demo,1678437787760141527,,1,47.203,-122.4882
demo,1678437799491591009,,1,47.203,-122.4882
demo,1678437809312004597,,0,47.203,-122.4882
demo,1678437927151716943,,0,47.203,-122.4882
demo,1678437958144582137,,0,47.203,-122.4882
demo,1678437998282130028,,0,47.203,-122.4882
demo,1678438023436613361,,0,47.203,-122.4882
demo,1678438099663912207,,0,47.203,-122.4882
demo,1678438143956529116,,0,47.203,-122.4882
demo,1678438146088130209,,0,47.203,-122.4882
demo,1678438204289645489,,0,47.203,-122.4882
demo,1678438237484397576,,0,47.203,-122.4882
demo,1678469667757350869,ON,0,47.203,-122.4882
demo,1678469800554581560,OFF,1,47.203,-122.4882
demo,1678469821748044163,OFF,1,47.203,-122.4882
demo,1678469831792256246,ON,0,47.203,-122.4882
demo,1678469914377725679,ON,0,47.203,-122.4882
demo,1678469974683517917,ON,0,47.203,-122.4882
demo,1678471318044047249,ON,0,47.203,-122.4882
demo,1678471436432888199,ON,0,47.203,-122.4882
demo,1678471465462502508,OFF,1,47.203,-122.4882
demo,1678471592938849692,OFF,1,47.203,-122.4882
demo,1678471769447591857,ON,0,47.203,-122.4882
demo,1678476259239005430,ON,0,47.203,-122.4882
demo,1678476296185125159,ON,0,47.203,-122.4882
demo,1678476312741894800,OFF,1,47.203,-122.4882
demo,1678476372860044025,OFF,1,47.203,-122.4882
demo,1678476390586678603,ON,0,47.203,-122.4882
