name,time,insurance,speed,star
starinsurance,1678558177694458645,,,1.5
starinsurance,1678558177695197651,,,1.5
starinsurance,1678561778226178140,,,1.5
starinsurance,1678561778230844822,,,1.5
starinsurance,1678565377814278725,,,1.5
starinsurance,1678565377815126112,,,1.5
starinsurance,1678569040090400332,,,1.5
starinsurance,1678569040090707918,,,1.5
starinsurance,1678569211543015762,,,1.5
starinsurance,1678569211544781650,,,1.5
starinsurance,1678569259971431187,,,1.5
starinsurance,1678569259972249304,,,1.5
starinsurance,1678569547693204861,60,,
starinsurance,1678569547696313610,60,,
starinsurance,1678569807486936963,200,,
starinsurance,1678569807493117038,200,,
starinsurance,1678570659994292946,200,,
starinsurance,1678570659997676167,200,,
starinsurance,1678572743911862002,200,,
starinsurance,1678572743912263356,200,,
starinsurance,1678573005117401830,250,,
starinsurance,1678573005125166768,200,,
starinsurance,1678573743240469310,115,2,
starinsurance,1678573743246572655,115,2,
starinsurance,1678574254324026074,115,2,
starinsurance,1678574254325155183,115,2,
starinsurance,1678575497068047454,115,2,
starinsurance,1678575497068660001,115,2,
starinsurance,1678578385765619417,115,2,
starinsurance,1678578385766735349,115,2,
starinsurance,1678578405595641200,115,2,
starinsurance,1678578405603452672,115,2,
starinsurance,1678578597020102168,115,2,
starinsurance,1678578597022484971,115,2,
starinsurance,1678579300006082762,115,2,
starinsurance,1678579300007116548,115,2,
starinsurance,1678580113796862371,115,2,
starinsurance,1678580113806411368,200,4.5,
starinsurance,1678580822052995695,200,4.5,
starinsurance,1678580822070094879,200,4.5,
starinsurance,1678580846861702119,200,4.5,
starinsurance,1678580846865088560,200,4.5,
starinsurance,1678580866105581882,200,4.5,
starinsurance,1678580866112952262,150,3,
starinsurance,1678580866487948140,150,3,
starinsurance,1678580866491368696,150,3,
starinsurance,1678581577269064110,150,3,
starinsurance,1678581577275771884,150,3,
starinsurance,1678581756066851661,150,3,
starinsurance,1678581756071140256,150,3,
starinsurance,1678581881790633067,150,3,
starinsurance,1678581881798934645,150,3,
starinsurance,1678582016106617740,150,3,
starinsurance,1678582016111510660,150,3,
starinsurance,1678582273990585137,150,3,
starinsurance,1678582273996934508,150,3,
starinsurance,1678583917667223994,100,1.5,
starinsurance,1678583917673275552,150,3,
starinsurance,1678583941605984253,150,3,
starinsurance,1678583941614201785,150,3,
starinsurance,1678583958851840654,150,3,
starinsurance,1678583958860515529,150,3,
starinsurance,1678583997562412065,150,3,
starinsurance,1678583997566094433,150,3,
starinsurance,1678584011979139540,150,3,
starinsurance,1678584011986881304,150,3,
starinsurance,1678584321981442490,150,3,
starinsurance,1678584321985463969,150,3,
starinsurance,1678584898896304450,150,3,
starinsurance,1678584898900898706,150,3,
starinsurance,1678585320166068511,160,3.5,
starinsurance,1678585320183750677,160,3.5,
starinsurance,1678585329107205530,160,3.5,
starinsurance,1678585329115729823,160,3.5,
starinsurance,1678586087890967466,160,3.5,
starinsurance,1678586087897509705,160,3.5,
starinsurance,1678586219274764077,160,3.5,
starinsurance,1678586219282319177,160,3.5,
starinsurance,1678586886053141053,115,2,
starinsurance,1678586886058288729,160,3.5,
starinsurance,1678590074570659781,160,3.5,
starinsurance,1678590074570994778,160,3.5,
starinsurance,1678591436431857521,160,3.5,
starinsurance,1678591436434167817,160,3.5,
starinsurance,1678595036423693068,160,3.5,
starinsurance,1678595036429586932,160,3.5,
starinsurance,1678595761659086823,160,3.5,
starinsurance,1678595761660233588,160,3.5,
starinsurance,1678597812570270040,160,3.5,
starinsurance,1678597812571465658,160,3.5,
starinsurance,1678598756968223732,160,3.5,
starinsurance,1678598756971804594,160,3.5,
starinsurance,1678598835290362740,160,3.5,
starinsurance,1678598835302081467,160,3.5,
starinsurance,1678599034896976383,160,3.5,
starinsurance,1678599034908327247,160,3.5,
starinsurance,1678599209509573087,180,4,
starinsurance,1678599209513363114,180,4,
starinsurance,1678599251771163479,180,4,
starinsurance,1678599251775467565,180,4,
starinsurance,1678599314983851951,180,4,
starinsurance,1678599314987337553,180,4,
starinsurance,1678599345521088546,180,4,
starinsurance,1678599345535566941,180,4,
starinsurance,1678599541796426893,180,4,
starinsurance,1678599541798483025,180,4,
starinsurance,1678599615722901516,180,4,
starinsurance,1678599615732181963,180,4,
starinsurance,1678600266590334974,180,4,
starinsurance,1678600266594486905,180,4,
starinsurance,1678600290945028087,180,4,
starinsurance,1678600290951025466,180,4,
starinsurance,1678600393230370944,180,4,
starinsurance,1678600393237552167,180,4,
starinsurance,1678602036939142382,180,4,
starinsurance,1678602036941033161,180,4,
starinsurance,1678602469015322295,100,1.5,
starinsurance,1678602469020678416,180,4,
starinsurance,1678602488676279881,180,4,
starinsurance,1678602488682931308,180,4,
starinsurance,1678602782677336278,180,4,
starinsurance,1678602782686370497,180,4,
starinsurance,1678603411614532066,180,4,
starinsurance,1678603411625830897,180,4,
starinsurance,1678603577629900217,180,4,
starinsurance,1678603577632873270,180,4,
starinsurance,1678604930316697855,180,4,
starinsurance,1678604930318275862,180,4,
starinsurance,1678604982106304903,130,2.5,
starinsurance,1678604982112367665,180,4,
starinsurance,1678607561440154515,180,4,
starinsurance,1678607561444868904,180,4,
starinsurance,1678607964468351457,180,4,
starinsurance,1678607964474343882,180,4,
starinsurance,1678610201931774947,180,4,
starinsurance,1678610201934152992,180,4,
