name,time,speed
speed,1678498667501705561,0
speed,1678498668499993910,0
speed,1678498669499386574,0
speed,1678498670498306794,0
speed,1678498671499417207,0
speed,1678498672498145189,0
speed,1678498673500754551,0
speed,1678498674500429089,0
speed,1678498675502584601,0
speed,1678498676518956630,0
speed,1678498677507843013,0
speed,1678498678508088954,0
speed,1678498679509859000,0
speed,1678498680508662504,0
speed,1678498681508315325,0
speed,1678498682505892274,0
speed,1678498683511571305,0
speed,1678498684523084202,0
speed,1678498685509530238,0
speed,1678498686508667960,0
speed,1678498687508702498,0
speed,1678498688511353060,0
speed,1678498689511058018,0
speed,1678498690512617754,0
speed,1678498691510790327,45
speed,1678498692509508156,0
speed,1678498693509243062,0
speed,1678498694511853469,0
speed,1678498695510489581,0
speed,1678498696515115964,0
speed,1678498697516460756,0
speed,1678498698521124692,1
speed,1678498699508782128,0
speed,1678498700516728230,0
speed,1678498701510678593,0
speed,1678498702507927371,0
speed,1678498703636493230,0
speed,1678498704512588349,0
speed,1678498705512025030,0
speed,1678498706511220254,0
speed,1678498707511304327,0
speed,1678498708512152404,0
speed,1678498709511563930,0
speed,1678498710512162479,0
speed,1678498711640690996,0
speed,1678498712522427849,0
speed,1678498713527056735,0
speed,1678498714528593091,0
speed,1678498715526195463,0
speed,1678498716524678298,0
speed,1678498717523409464,0
speed,1678498718524526240,0
speed,1678498719527528264,0
speed,1678498720527333486,0
speed,1678498721524436331,0
speed,1678498722528926210,0
speed,1678498723525770099,0
speed,1678498724527904681,0
speed,1678498725526594703,0
speed,1678498726528864441,0
speed,1678498727529771428,0
speed,1678498728528545461,0
speed,1678498729529742811,0
speed,1678498730528000337,0
speed,1678498731531324757,0
speed,1678498732528307917,0
speed,1678498733532698058,0
speed,1678498734532612605,0
speed,1678498735532188352,0
speed,1678498736532795812,45
speed,1678498737542592167,1
speed,1678498738538320233,0
speed,1678498739541003876,0
speed,1678498740543741113,0
speed,1678498741538041324,0
speed,1678498742537031920,0
speed,1678498743542524296,0
speed,1678498744539543447,0
speed,1678498745538337326,0
speed,1678498746543493298,0
speed,1678498747538001008,45
speed,1678498748539218517,0
speed,1678498749541111803,45
speed,1678498750539708810,0
speed,1678498751539197945,0
speed,1678498752539379941,0
speed,1678498753541479112,0
speed,1678498754541515536,0
speed,1678498755554842704,0
speed,1678498756555366886,0
speed,1678498757553258012,0
speed,1678498758552520328,0
speed,1678498759551842018,0
speed,1678498760553319319,0
speed,1678498761554081989,0
speed,1678498762550098286,0
speed,1678498763554022758,0
speed,1678498764552709974,0
speed,1678498765559453022,0
speed,1678498766555424006,0
speed,1678498767552688055,0
speed,1678498768554874329,0
speed,1678498769554559027,0
speed,1678498770555117999,0
speed,1678498771555322675,0
speed,1678498772553620686,0
speed,1678498773556882534,0
speed,1678498774560328774,0
speed,1678498775554683321,0
speed,1678498776555799434,0
speed,1678498777558228146,0
speed,1678498778557504018,0
speed,1678498779558124521,0
speed,1678498780557068146,0
speed,1678498781558409769,0
speed,1678498782555578100,0
speed,1678498783556055558,0
speed,1678498784556752251,0
speed,1678498785558776074,0
speed,1678498786557974863,0
speed,1678498787557712047,0
speed,1678498788557632372,0
speed,1678498789556654659,0
speed,1678498790558240461,0
speed,1678498791557411638,0
speed,1678498792556726581,1
speed,1678498793584656142,0
speed,1678498794561039445,0
speed,1678498795602094387,0
speed,1678498796557990171,0
speed,1678498797580939741,0
speed,1678498798577930620,0
speed,1678498799579292639,0
speed,1678498800580032292,0
speed,1678498801725653230,0
speed,1678498802578632381,0
speed,1678498803695080434,0
speed,1678498804603152092,0
speed,1678498805739844731,0
speed,1678498806606564226,0
speed,1678498807617497582,0
speed,1678498808606355976,0
speed,1678498809624279092,0
speed,1678498810617236566,0
speed,1678498811640182289,0
speed,1678498812629049558,0
speed,1678498813643136878,0
speed,1678498814641353345,0
speed,1678498815737917613,0
speed,1678498816647613038,0
speed,1678498817759960929,0
speed,1678498818644938479,0
speed,1678498819645756449,0
speed,1678498820647563953,0
speed,1678498821698667036,0
speed,1678498822697663999,0
speed,1678498823844249759,0
speed,1678498824754455100,0
speed,1678498825788220899,0
speed,1678498826792540761,0
speed,1678498827789347592,0
speed,1678498828792529697,0
speed,1678498829797579027,0
speed,1678498830793620976,0
speed,1678498831804019678,0
speed,1678498832804849550,0
speed,1678498833804642321,0
speed,1678498834807516152,0
speed,1678498835805324617,0
speed,1678498836808674776,0
speed,1678498837806731605,0
speed,1678498838810058988,0
speed,1678498839830681462,0
speed,1678498840828186321,0
speed,1678498841825148967,0
speed,1678498842825418971,0
speed,1678498843825077335,0
speed,1678498844827666397,0
speed,1678498845859707744,0
speed,1678498846853206316,0
speed,1678498847850670619,0
speed,1678498848855017846,0
speed,1678498849857818448,0
